coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized
Dash,DASH,97.64,0.016,0.005,0.03,245449241.0,1035525179.0,2022-03-16,0.0023689099253424483,0.004236633675833662,0.00124966517081313
Frax Share,FXS,17.92,0.006,-0.011,0.006,4834916.0,1031430071.0,2022-03-16,0.00043476921199576404,8.345419143270841e-05,0.0012443880490878413
Pax Dollar,USDP,0.999025,-0.002,0.001,-0.001,57639449.0,994783973.0,2022-03-16,2.4238019609645085e-05,0.0009948991070210596,0.0011971644056814035
BitDAO,BIT,1.12,0.025,0.019,0.036,54570658.0,993438990.0,2022-03-16,2.71730757159812e-05,0.0009419295266641367,0.0011954312062128075
GateToken,GT,6.52,0.012,0.031,-0.005,7695401.0,979761512.0,2022-03-16,0.00015818611952019712,0.00013282825765855203,0.001177805855110723
Convex Finance,CVX,18.29,0.038,0.054,0.147,45253981.0,979304335.0,2022-03-16,0.00044374603166383065,0.0007811168577626063,0.0011772167183458312
Synthetix Network Token,SNX,4.24,0.053,0.079,0.084,63349615.0,903998693.0,2022-03-16,0.00010286950102508373,0.0010934607545194945,0.001080174823618025
Xido Finance,XIDO,30.86,-0.027,-0.049,0.7659999999999999,1464061.0,893636559.0,2022-03-16,0.0007487152836303111,2.5270765192851855e-05,0.0010668217588266323
Loopring,LRC,0.710702,0.03,0.035,-0.033,112235393.0,881663508.0,2022-03-16,1.724282075246676e-05,0.0019372650885656052,0.0010513928012630988
NEM,XEM,0.098240605826,0.021,0.043,0.037,20866042.0,879585159.0,2022-03-16,2.383481592594646e-06,0.0003601631679869793,0.0010487145567184782
Anchor Protocol,ANC,3.1,0.06,0.088,-0.18,107525684.0,807556039.0,2022-03-16,7.521119177752704e-05,0.0018559720616591708,0.0009558949207026734
Oasis Network,ROSE,0.227889,0.036,0.07,0.027,65843862.0,794382929.0,2022-03-16,5.528968767606593e-06,0.0011365132846189747,0.0009389195185959121
Curve DAO Token,CRV,2.02,0.026,0.022,-0.006,150926378.0,791197822.0,2022-03-16,4.900858301668385e-05,0.002605099828385294,0.0009348150609486246
Decred,DCR,56.87,0.02,0.143,0.088,25032753.0,787162797.0,2022-03-16,0.0013797614446206176,0.00043208365170143716,0.0009296153646061637
cUSDT,CUSDT,0.021768404499,0.0,0.0,0.0,8111.5,775425368.0,2022-03-16,5.281379143985223e-07,1.4001043116497046e-07,0.0009144900390775254
Secret,SCRT,4.61,0.017,0.008,0.027,19871872.0,763750478.0,2022-03-16,0.00011184632069315038,0.0003430030656198118,0.0008994453038326055
LINK,LN,129.46,0.036,0.018,0.024,1207902.0,759436472.0,2022-03-16,0.0031409164167961797,2.0849273232451475e-05,0.0008938861012949374
Mina Protocol,MINA,1.81,0.015,0.105,-0.004,70360743.0,756143474.0,2022-03-16,4.391363131318656e-05,0.001214477959010994,0.0008896426109432467
Holo,HOT,0.00414796568,0.027,0.027,0.0279999999999999,63199499.0,734353201.0,2022-03-16,1.006365583164569e-07,0.0010908696424089402,0.0008615627842211512
Compound,COMP,109.58,0.026,0.045,0.052,40756551.0,726097698.0,2022-03-16,0.0026585943221984366,0.0007034879218772247,0.00085092440930296
IoTeX,IOTX,0.076638517501,0.042,0.0069999999999999,0.1169999999999999,91722669.0,717099434.0,2022-03-16,1.8593787511158007e-06,0.0015832004480418997,0.0008393288825319246
