coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized,liquidity_ratio,volatility_score,avg_abs_change,turnover_rate,market_dominance,momentum_short,momentum_medium,momentum_long,momentum_consistency,liquidity_class
The Sandbox,SAND,3.08,0.009,0.126,0.092,989130040.0,3486478110.0,2022-03-16,7.472595828195586e-05,0.0170731089661128,0.0044080622045029,0.28370464657814815,0.06018582335843993,0.07566666666666667,0.01707310896611286,0.092841425317039,0.009,0.126,0.092,1,High
Internet Computer,ICP,16.26,0.02,0.019,-0.035,158065484.0,3447698400.0,2022-03-16,0.0003944948318633,0.0027283260268926,0.0043580891024159,0.04584666802641438,0.03146956201368766,0.02466666666666667,0.002728326026892651,0.09180876042249835,0.02,0.019,-0.035,0,Medium
Monero,XMR,189.34,0.003,0.011,-0.073,251596905.0,3416516046.0,2022-03-16,0.0045937055025362,0.0043427468592519,0.0043179062604154,0.07364136494970233,0.04636090306856989,0.028999999999999998,0.004342746859251939,0.09097840552028429,0.003,0.011,-0.073,0,Medium
cETH,CETH,53.71,-0.001,0.009,0.04,1088.54,3191011869.0,2022-03-16,0.0013030945523203,1.8788997687273245e-08,0.0040273124612799,3.411269041569334e-07,0.021377558326431952,0.016666666666666666,1.8788997687273245e-08,0.08497345480868329,-0.001,0.009,0.04,0,Low
VeChain,VET,0.047848054559,0.0279999999999999,0.033,0.0279999999999999,283498801.0,3172681612.0,2022-03-16,1.1608739024928562e-06,0.0048933969503497,0.0040036913510565,0.08935620893307589,0.0028867513459481875,0.0296666666666666,0.00489339695034977,0.08448533839647164,0.0279999999999999,0.033,0.0279999999999999,1,High
Fantom,FTM,1.22,0.043,0.022,-0.079,1173101401.0,3072929159.0,2022-03-16,2.959924319383705e-05,0.0202485894044555,0.0038751463073416,0.3817534802467602,0.06522525073415458,0.04800000000000001,0.02024858940445551,0.08182903033337843,0.043,0.022,-0.079,0,High
Filecoin,FIL,17.27,0.016,0.01,-0.0409999999999999,264401106.0,3052322720.0,2022-03-16,0.0004189991233897,0.004563756746786,0.0038485920169718,0.08662291974159272,0.03132091952673159,0.0223333333333333,0.004563756746786051,0.08128030147086779,0.016,0.01,-0.0409999999999999,0,Medium
Osmosis,OSMO,9.39,0.0139999999999999,0.018,-0.001,94042665.0,3040277019.0,2022-03-16,0.0002278171261346,0.0016232452782534,0.0038330694396812,0.030932268478262637,0.010016652800877794,0.010999999999999966,0.001623245278253452,0.08095953649988596,0.0139999999999999,0.018,-0.001,0,Medium
Klaytn,KLAY,1.1,0.016,0.023,-0.012,57133059.0,3034567731.0,2022-03-16,2.668784222041003e-05,0.0009861584447221,0.0038257122203501,0.018827412687596395,0.018520259177452134,0.017,0.000986158444722147,0.0808075038701829,0.016,0.023,-0.012,0,Medium
Frax,FRAX,0.998392,-0.002,0.001,-0.0,18194194.0,2866968260.0,2022-03-16,2.4222661969510253e-05,0.0003140451145459,0.0036097367663301,0.0063461442018196606,0.0015275252316519468,0.001,0.00031404511454590623,0.07634449757010268,-0.002,0.001,-0.0,0,Low
